>>>
>>>
>>>
>>> from main import *
I2C devices: ['0x1e', '0x68']
MPU6050 OK @ 0x68  [+/-8g, +/-2000dps, 50Hz]
HMC5883L OK @ 0x1E  [+/-1.3Ga, 15Hz, 8-avg]
# Ready. 9-channel HAR firmware.
#   test()               — single reading
#   calibrate_mag(sec)   — mag ellipsoid data collection
#   collect('label', sec)  — activity data collection
>>>
calibrate_mag(60)
# MAG_CALIB 60s 3000samples
# sample,mx,my,mz
159,28.5321,-24.1284,-13.6697
160,28.5321,-24.1284,-13.6697
161,28.5321,-24.1284,-13.6697
162,28.4404,-22.2018,-15.5046
163,28.4404,-22.2018,-15.5046
164,28.4404,-22.2018,-15.5046
165,28.4404,-22.2018,-15.5046
166,26.2385,-21.7431,-17.7982
167,26.2385,-21.7431,-17.7982
168,26.2385,-21.7431,-17.7982
169,22.6606,-23.0275,-19.4495
170,22.6606,-23.0275,-19.4495
171,22.6606,-23.0275,-19.4495
172,16.8807,-25.9633,-20.2752
173,16.8807,-25.9633,-20.2752
174,16.8807,-25.9633,-20.2752
175,16.8807,-25.9633,-20.2752
176,12.2018,-28.6239,-19.2661
177,12.2018,-28.6239,-19.2661
178,12.2018,-28.6239,-19.2661
179,8.6239,-31.3761,-16.9725
180,8.6239,-31.3761,-16.9725
181,8.6239,-31.3761,-16.9725
182,6.7890,-34.0367,-12.9358
183,6.7890,-34.0367,-12.9358
184,6.7890,-34.0367,-12.9358
185,6.7890,-34.0367,-12.9358
186,6.3303,-36.3303,-7.4312
187,6.3303,-36.3303,-7.4312
188,6.3303,-36.3303,-7.4312
189,7.2477,-37.6147,-1.3761
190,7.2477,-37.6147,-1.3761
191,7.2477,-37.6147,-1.3761
192,8.9908,-37.5229,3.8532
193,8.9908,-37.5229,3.8532
194,8.9908,-37.5229,3.8532
195,8.9908,-37.5229,3.8532
196,11.2844,-35.7798,10.8257
197,11.2844,-35.7798,10.8257
198,11.2844,-35.7798,10.8257
199,15.2294,-31.2844,17.5229
200,15.2294,-31.2844,17.5229
201,15.2294,-31.2844,17.5229
202,18.8073,-25.5963,21.5596
203,18.8073,-25.5963,21.5596
204,18.8073,-25.5963,21.5596
205,18.8073,-25.5963,21.5596
206,22.5688,-19.0826,23.5780
207,22.5688,-19.0826,23.5780
208,22.5688,-19.0826,23.5780
209,24.7706,-8.8073,25.2294
210,24.7706,-8.8073,25.2294
211,24.7706,-8.8073,25.2294
212,24.2202,4.9541,23.9450
213,24.2202,4.9541,23.9450
214,24.2202,4.9541,23.9450
215,24.2202,4.9541,23.9450
216,19.5413,16.1468,14.3119
217,19.5413,16.1468,14.3119
218,19.5413,16.1468,14.3119
219,14.2202,21.4679,10.2752
220,14.2202,21.4679,10.2752
221,14.2202,21.4679,10.2752
222,8.1651,26.3303,4.6789
223,8.1651,26.3303,4.6789
224,8.1651,26.3303,4.6789
225,8.1651,26.3303,4.6789
226,2.5688,27.5229,1.9266
227,2.5688,27.5229,1.9266
228,2.5688,27.5229,1.9266
229,-1.5596,27.0642,-0.6422
230,-1.5596,27.0642,-0.6422
231,-1.5596,27.0642,-0.6422
232,-4.5872,25.5963,-3.3028
233,-4.5872,25.5963,-3.3028
234,-4.5872,25.5963,-3.3028
235,-4.5872,25.5963,-3.3028
236,-6.6972,23.8532,-5.6881
237,-6.6972,23.8532,-5.6881
238,-6.6972,23.8532,-5.6881
239,-8.2569,22.5688,-6.4220
240,-8.2569,22.5688,-6.4220
241,-8.2569,22.5688,-6.4220
242,-10.0917,22.1101,-5.9633
243,-10.0917,22.1101,-5.9633
244,-10.0917,22.1101,-5.9633
245,-10.0917,22.1101,-5.9633
246,-14.0367,20.6422,-3.3028
247,-14.0367,20.6422,-3.3028
248,-14.0367,20.6422,-3.3028
249,-18.5321,18.1651,0.1835
250,-18.5321,18.1651,0.1835
251,-18.5321,18.1651,0.1835
252,-23.1193,12.2018,5.1376
253,-23.1193,12.2018,5.1376
254,-23.1193,12.2018,5.1376
255,-23.1193,12.2018,5.1376
256,-25.7798,5.1376,8.8073
257,-25.7798,5.1376,8.8073
258,-25.7798,5.1376,8.8073
259,-26.6972,-3.2110,10.9174
260,-26.6972,-3.2110,10.9174
261,-26.6972,-3.2110,10.9174
262,-24.6789,-14.8624,12.3853
263,-24.6789,-14.8624,12.3853
264,-24.6789,-14.8624,12.3853
265,-24.6789,-14.8624,12.3853
266,-18.1651,-26.9725,11.8349
267,-18.1651,-26.9725,11.8349
268,-18.1651,-26.9725,11.8349
269,-7.9817,-36.0550,7.2477
270,-7.9817,-36.0550,7.2477
271,-7.9817,-36.0550,7.2477
272,1.8349,-39.6330,0.6422
