I2C scan: ['0x68']
MPU6050 OK @ 0x68, +/-8g, +/-2000dps, 50Hz
# Ready.
# Commands: test(), collect('<label>', seconds)
MicroPython v1.24.1 on 2024-11-29; Generic ESP32S3 module with ESP32S3
Type "help()" for more information.
>>> ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce3820,len:0x105c
load:0x403c9700,len:0x4
load:0x403c9704,len:0xbd8
load:0x403cc700,len:0x2e34
entry 0x403c989c
[0;31mE (289) quad_psram: PSRAM ID read error: 0x00ffffff, PSRAM chip not found or not supported, or wrong PSRAM line mode[0m
[0;31mE (289) esp_psram: PSRAM enabled but initialization failed. Bailing out.[0m
I2C scan: ['0x68']
MPU6050 OK @ 0x68, +/-8g, +/-2000dps, 50Hz
# Ready.
# Commands: test(), collect('<label>', seconds)
MicroPython v1.24.1 on 2024-11-29; Generic ESP32S3 module with ESP32S3
Type "help()" for more information.
>>>
collect('+Z_down', 5)
# COLLECT +Z_down 5s 250samples
# sample,ax,ay,az,gx,gy,gz,label
177,-0.71826,0.14844,9.59117,-4.2683,-1.2195,0.6707,static
178,-0.71826,0.15802,9.57202,-4.3293,-1.2805,0.6098,static
179,-0.73263,0.17478,9.57441,-4.2683,-1.2195,0.7317,static
180,-0.73502,0.16759,9.58638,-4.2683,-1.1585,0.6707,static
181,-0.71347,0.15323,9.57681,-4.4512,-1.2805,0.5488,static
182,-0.69671,0.15083,9.56005,-4.3293,-1.2805,0.6098,static
183,-0.72784,0.15802,9.56723,-4.0854,-1.1585,0.8537,static
184,-0.73981,0.15323,9.58878,-4.2073,-1.1585,0.7927,static
185,-0.71826,0.14365,9.57920,-4.3902,-1.2805,0.5488,static
186,-0.71347,0.15323,9.56723,-4.3293,-1.2805,0.6098,static
187,-0.73263,0.15802,9.57441,-4.2073,-1.0976,0.7927,static
188,-0.73263,0.15562,9.58399,-4.2683,-1.1585,0.6707,static
189,-0.71826,0.15083,9.56484,-4.3293,-1.2805,0.6098,static
190,-0.72305,0.14844,9.56484,-4.2073,-1.2195,0.7317,static
191,-0.73263,0.14605,9.58399,-4.1463,-1.0976,0.7927,static
192,-0.73263,0.15083,9.57441,-4.2683,-1.2195,0.6098,static
193,-0.70868,0.14844,9.55765,-4.3293,-1.2805,0.5488,static
194,-0.71826,0.14365,9.57202,-4.2683,-1.2195,0.6707,static
195,-0.72065,0.15323,9.57441,-4.2073,-1.1585,0.7927,static
196,-0.71347,0.15323,9.56484,-4.3293,-1.2195,0.6707,static
197,-0.71347,0.15083,9.56005,-4.3293,-1.2805,0.6098,static
198,-0.72305,0.14844,9.56244,-4.2683,-1.1585,0.7317,static
199,-0.73741,0.15323,9.56723,-4.2683,-1.1585,0.6707,static
200,-0.72305,0.15562,9.56962,-4.3293,-1.2195,0.6098,static
201,-0.72784,0.15562,9.56484,-4.2683,-1.2195,0.6707,static
202,-0.73023,0.16041,9.57920,-4.2073,-1.1585,0.7317,static
203,-0.70868,0.15802,9.57920,-4.3902,-1.2195,0.6098,static
204,-0.69671,0.15323,9.56244,-4.3902,-1.2805,0.5488,static
205,-0.72305,0.15323,9.56244,-4.1463,-1.1585,0.7927,static
206,-0.73981,0.16041,9.57920,-4.1463,-1.0976,0.8537,static
207,-0.72065,0.15562,9.56484,-4.3902,-1.2805,0.5488,static
208,-0.71587,0.15323,9.54329,-4.3902,-1.3415,0.5488,static
209,-0.72784,0.16041,9.58638,-4.2073,-1.1585,0.7317,static
210,-0.72544,0.15323,9.59835,-4.2073,-1.1585,0.7317,static
211,-0.71347,0.16041,9.57202,-4.3293,-1.2805,0.6098,static
212,-0.71108,0.16281,9.56962,-4.2683,-1.2805,0.6707,static
213,-0.72065,0.15802,9.59357,-4.2683,-1.2195,0.6707,static
214,-0.71347,0.15323,9.56962,-4.3293,-1.2805,0.5488,static
215,-0.71587,0.15083,9.56244,-4.2683,-1.2195,0.6707,static
216,-0.73023,0.16281,9.57202,-4.2073,-1.1585,0.7927,static
217,-0.73023,0.15323,9.56962,-4.2683,-1.2195,0.6707,static
218,-0.72065,0.14605,9.55765,-4.3293,-1.2805,0.6098,static
219,-0.72784,0.16041,9.56244,-4.2683,-1.2195,0.6707,static
220,-0.72544,0.15083,9.57202,-4.2683,-1.2195,0.7317,static
221,-0.71826,0.15083,9.57681,-4.3293,-1.2195,0.6707,static
222,-0.72544,0.15562,9.56962,-4.2683,-1.2195,0.6707,static
223,-0.73023,0.15802,9.57681,-4.2683,-1.1585,0.7317,static
224,-0.70629,0.15562,9.58399,-4.3902,-1.2195,0.6098,static
225,-0.69432,0.14844,9.56484,-4.3902,-1.2805,0.5488,static
226,-0.72065,0.15083,9.56005,-4.2073,-1.2195,0.7317,static
227,-0.73981,0.15083,9.59117,-4.1463,-1.0976,0.8537,static
228,-0.72784,0.15323,9.59596,-4.3293,-1.2195,0.6098,static
229,-0.71108,0.15562,9.56005,-4.3902,-1.3415,0.5488,static
230,-0.72544,0.15802,9.57441,-4.2073,-1.2195,0.7317,static
231,-0.73502,0.15323,9.59117,-4.2073,-1.1585,0.7927,static
232,-0.72544,0.15083,9.57441,-4.3293,-1.2805,0.6098,static
233,-0.72305,0.15083,9.56484,-4.2683,-1.2805,0.6707,static
234,-0.73263,0.14844,9.59596,-4.2073,-1.1585,0.7927,static
235,-0.73263,0.15083,9.60314,-4.2683,-1.1585,0.7317,static
236,-0.71108,0.14844,9.57202,-4.3293,-1.2805,0.6098,static
237,-0.71347,0.14844,9.56723,-4.2683,-1.2195,0.6707,static
238,-0.72784,0.14844,9.58638,-4.2073,-1.1585,0.7317,static
239,-0.73502,0.15323,9.59357,-4.2683,-1.2195,0.6707,static
240,-0.72544,0.15802,9.56962,-4.2683,-1.2195,0.6707,static
241,-0.72784,0.15323,9.57681,-4.2683,-1.2195,0.6707,static
242,-0.72065,0.15083,9.58160,-4.2683,-1.2195,0.6707,static
243,-0.72305,0.15323,9.57202,-4.2683,-1.2195,0.6098,static
244,-0.72784,0.15083,9.57441,-4.2683,-1.2195,0.7317,static
245,-0.73263,0.15562,9.58399,-4.2073,-1.1585,0.7317,static
246,-0.71826,0.15802,9.58160,-4.3902,-1.2195,0.6098,static
247,-0.70629,0.15802,9.57441,-4.3902,-1.2805,0.6098,static
248,-0.73023,0.15562,9.57681,-4.2073,-1.1585,0.7927,static
249,-0.75178,0.16281,9.58878,-4.2073,-1.0976,0.7927,static
250,-0.72784,0.15562,9.57441,-4.3902,-1.2195,0.6098,static
251,-0.71587,0.15802,9.56005,-4.3902,-1.2805,0.5488,static
252,-0.72784,0.15562,9.58399,-4.2073,-1.1585,0.7317,static
253,-0.73502,0.15562,9.59117,-4.2073,-1.1585,0.7317,static
254,-0.72544,0.15323,9.57441,-4.3293,-1.2805,0.6098,static
255,-0.71826,0.16041,9.56962,-4.3293,-1.2805,0.6098,static
256,-0.72784,0.16041,9.58638,-4.2073,-1.1585,0.7317,static
257,-0.72305,0.15802,9.57920,-4.2683,-1.2195,0.6707,static
258,-0.70868,0.16041,9.55765,-4.3293,-1.2805,0.5488,static
259,-0.70629,0.15083,9.56484,-4.2683,-1.2195,0.6707,static
260,-0.72065,0.15562,9.57920,-4.2073,-1.1585,0.7317,static
261,-0.71347,0.15562,9.57920,-4.2683,-1.2195,0.6707,static
262,-0.71347,0.15802,9.57202,-4.3293,-1.2805,0.6707,static
263,-0.72065,0.15802,9.57681,-4.2683,-1.2195,0.7317,static
264,-0.72305,0.14844,9.57920,-4.2683,-1.1585,0.7317,static
265,-0.71108,0.14605,9.58160,-4.2683,-1.2195,0.6098,static
266,-0.72544,0.15323,9.57202,-4.2683,-1.2195,0.6707,static
267,-0.72544,0.14844,9.57920,-4.2683,-1.2195,0.7317,static
268,-0.70868,0.15562,9.58638,-4.3902,-1.2195,0.6098,static
269,-0.68953,0.15323,9.58399,-4.3902,-1.2805,0.5488,static
270,-0.71826,0.15323,9.57202,-4.2073,-1.2195,0.7317,static
271,-0.75178,0.16281,9.57681,-4.0854,-1.0976,0.8537,static
272,-0.73981,0.15562,9.57920,-4.2683,-1.1585,0.6707,static
273,-0.71108,0.14126,9.56962,-4.3902,-1.2805,0.5488,static
274,-0.72065,0.15562,9.56962,-4.2683,-1.2195,0.6707,static
275,-0.72544,0.15802,9.58878,-4.2073,-1.0976,0.7927,static
276,-0.72544,0.15562,9.58878,-4.3293,-1.2195,0.6707,static
277,-0.72305,0.15083,9.56962,-4.3293,-1.2805,0.6098,static
278,-0.72784,0.14605,9.57681,-4.2683,-1.1585,0.7317,static
279,-0.73981,0.15083,9.58878,-4.2073,-1.1585,0.7927,static
280,-0.72305,0.15323,9.57920,-4.3293,-1.2195,0.6098,static
281,-0.71587,0.14605,9.56723,-4.3293,-1.2805,0.6098,static
282,-0.71587,0.14605,9.58638,-4.2073,-1.1585,0.7317,static
283,-0.72784,0.14605,9.59357,-4.2073,-1.1585,0.7317,static
284,-0.72305,0.15083,9.57681,-4.3293,-1.2195,0.6707,static
285,-0.71347,0.15323,9.57202,-4.2683,-1.2195,0.6707,static
286,-0.72784,0.15562,9.57681,-4.2683,-1.1585,0.7317,static
287,-0.72784,0.15323,9.58399,-4.2683,-1.2195,0.6707,static
288,-0.71587,0.15083,9.56723,-4.3293,-1.2195,0.6098,static
289,-0.72544,0.16041,9.57202,-4.2683,-1.2195,0.7317,static
290,-0.72305,0.15323,9.59117,-4.2683,-1.1585,0.7317,static
291,-0.69911,0.15562,9.57681,-4.3902,-1.2805,0.5488,static
292,-0.70150,0.14844,9.55287,-4.3293,-1.2805,0.6098,static
293,-0.73981,0.15083,9.59357,-4.2073,-1.1585,0.7927,static
294,-0.71826,0.14365,9.57681,-4.3902,-1.3415,0.5488,static
295,-0.72305,0.14365,9.55526,-4.3293,-1.2805,0.6098,static
296,-0.73023,0.15083,9.57920,-4.2073,-1.1585,0.7927,static
297,-0.72784,0.14365,9.58878,-4.2683,-1.1585,0.6707,static
298,-0.70868,0.15323,9.56962,-4.3293,-1.3415,0.5488,static
299,-0.72305,0.15083,9.56962,-4.2683,-1.2195,0.6707,static
300,-0.73741,0.15562,9.58638,-4.2073,-1.1585,0.7927,static
301,-0.72305,0.15562,9.57681,-4.3293,-1.2195,0.6707,static
302,-0.71347,0.15083,9.56005,-4.3902,-1.2805,0.6098,static
303,-0.72065,0.15802,9.57202,-4.2683,-1.2195,0.6707,static
304,-0.73981,0.14844,9.58399,-4.2073,-1.1585,0.7927,static
305,-0.72544,0.14844,9.58160,-4.3293,-1.2195,0.6707,static
306,-0.72065,0.15323,9.56484,-4.3293,-1.2805,0.6098,static
307,-0.72065,0.15802,9.56484,-4.2683,-1.2195,0.7317,static
308,-0.72065,0.15562,9.58638,-4.2683,-1.2195,0.7317,static
309,-0.72544,0.15083,9.57202,-4.2683,-1.2805,0.6707,static
310,-0.72544,0.14844,9.55526,-4.2073,-1.2195,0.7317,static
311,-0.72784,0.15802,9.57202,-4.2683,-1.2195,0.7317,static
312,-0.72544,0.15323,9.56962,-4.3902,-1.2805,0.6098,static
313,-0.70629,0.15562,9.57681,-4.3902,-1.3415,0.5488,static
314,-0.71587,0.15083,9.56723,-4.2073,-1.2195,0.7317,static
315,-0.74460,0.14844,9.57920,-4.0854,-1.1585,0.8537,static
316,-0.73263,0.15083,9.56484,-4.2683,-1.2195,0.6707,static
317,-0.71347,0.14605,9.55765,-4.3902,-1.3415,0.5488,static
318,-0.71826,0.15802,9.55526,-4.2683,-1.2195,0.6707,static
319,-0.72784,0.14605,9.58160,-4.2683,-1.1585,0.7317,static
320,-0.71347,0.14844,9.57202,-4.3293,-1.2195,0.6098,static
321,-0.70629,0.14365,9.55287,-4.3293,-1.2805,0.6098,static
322,-0.72544,0.15083,9.57441,-4.2073,-1.1585,0.7317,static
323,-0.73263,0.14844,9.58638,-4.2683,-1.1585,0.7317,static
324,-0.72544,0.16041,9.56005,-4.3293,-1.2805,0.6098,static
325,-0.72305,0.15323,9.57202,-4.3293,-1.2195,0.6707,static
326,-0.73502,0.15323,9.57920,-4.2073,-1.1585,0.7317,static
327,-0.73263,0.15323,9.59117,-4.2683,-1.2195,0.7317,static
328,-0.72544,0.15562,9.58878,-4.3293,-1.2805,0.6098,static
329,-0.72544,0.15802,9.58878,-4.2683,-1.2195,0.6707,static
330,-0.72544,0.15323,9.58638,-4.2683,-1.1585,0.6707,static
331,-0.73263,0.15562,9.58160,-4.3293,-1.2195,0.6707,static
332,-0.72784,0.15802,9.57920,-4.2683,-1.2195,0.6707,static
333,-0.74220,0.15323,9.58160,-4.2073,-1.2195,0.7317,static
334,-0.72784,0.16281,9.59596,-4.2683,-1.2195,0.6707,static
335,-0.69911,0.14844,9.57920,-4.4512,-1.2805,0.5488,static
336,-0.69671,0.14844,9.56484,-4.3902,-1.2805,0.5488,static
337,-0.73023,0.15083,9.58160,-4.1463,-1.1585,0.8537,static
338,-0.75417,0.15323,9.60554,-4.1463,-1.0976,0.8537,static
339,-0.73023,0.15083,9.58878,-4.3902,-1.2805,0.6098,static
340,-0.70150,0.13647,9.58160,-4.3902,-1.3415,0.5488,static
341,-0.72065,0.14126,9.57441,-4.2073,-1.1585,0.7317,static
342,-0.73502,0.15323,9.59596,-4.2073,-1.1585,0.7317,static
343,-0.71826,0.15083,9.57681,-4.3293,-1.2195,0.6098,static
344,-0.71826,0.14844,9.57202,-4.2683,-1.2195,0.6098,static
345,-0.73023,0.15562,9.58399,-4.2073,-1.1585,0.7927,static
346,-0.72544,0.14844,9.59117,-4.2683,-1.1585,0.6707,static
347,-0.71108,0.14605,9.57681,-4.3902,-1.2805,0.5488,static
348,-0.71587,0.13647,9.56723,-4.3293,-1.2805,0.6707,static
349,-0.72065,0.14126,9.58878,-4.2073,-1.1585,0.7927,static
350,-0.72305,0.14365,9.59117,-4.2683,-1.2195,0.6707,static
351,-0.72544,0.14126,9.58878,-4.3293,-1.2805,0.6098,static
352,-0.72544,0.13647,9.57202,-4.2683,-1.2195,0.6707,static
353,-0.73023,0.13886,9.57681,-4.2683,-1.2195,0.7317,static
354,-0.72065,0.14365,9.57441,-4.3293,-1.2195,0.6707,static
355,-0.72065,0.14126,9.57920,-4.3293,-1.2195,0.6707,static
356,-0.72784,0.14365,9.58160,-4.2683,-1.2195,0.7317,static
357,-0.72784,0.14844,9.57920,-4.2683,-1.2195,0.6707,static
358,-0.70390,0.13408,9.57441,-4.3902,-1.2805,0.6098,static
359,-0.70629,0.14844,9.56005,-4.2683,-1.2195,0.6707,static
360,-0.73263,0.14605,9.57441,-4.2073,-1.1585,0.7927,static
361,-0.73502,0.14844,9.57441,-4.2683,-1.1585,0.7317,static
362,-0.73023,0.14365,9.57441,-4.3902,-1.2805,0.5488,static
363,-0.72784,0.15083,9.56244,-4.2683,-1.2195,0.6707,static
364,-0.73981,0.14605,9.57920,-4.2073,-1.1585,0.7317,static
365,-0.72544,0.14365,9.57681,-4.2683,-1.2195,0.6707,static
366,-0.71826,0.14605,9.56484,-4.3293,-1.2805,0.6098,static
367,-0.72305,0.14605,9.57202,-4.2683,-1.2195,0.7317,static
368,-0.73741,0.14365,9.58160,-4.2073,-1.1585,0.7317,static
369,-0.73263,0.14605,9.58160,-4.3293,-1.2805,0.6707,static
370,-0.72305,0.14126,9.57202,-4.3293,-1.2805,0.6098,static
371,-0.72544,0.14365,9.58878,-4.2683,-1.1585,0.7317,static
372,-0.72544,0.15083,9.58878,-4.2683,-1.1585,0.7317,static
373,-0.72305,0.15323,9.57202,-4.3293,-1.2805,0.6707,static
374,-0.72065,0.14365,9.56962,-4.2683,-1.1585,0.7317,static
375,-0.71826,0.14126,9.57681,-4.2683,-1.2195,0.6707,static
376,-0.71826,0.14365,9.57202,-4.3293,-1.2805,0.6707,static
377,-0.72305,0.14844,9.57920,-4.2683,-1.2195,0.6707,static
378,-0.72784,0.15323,9.58160,-4.2683,-1.2195,0.7317,static
379,-0.71108,0.14605,9.57441,-4.3902,-1.2805,0.6098,static
380,-0.69911,0.14844,9.56005,-4.3902,-1.2805,0.5488,static
381,-0.71347,0.14605,9.56723,-4.2073,-1.2195,0.7317,static
382,-0.72784,0.14844,9.58638,-4.1463,-1.1585,0.7927,static
383,-0.72544,0.14844,9.58878,-4.2683,-1.2195,0.6707,static
384,-0.70390,0.13886,9.56723,-4.3902,-1.2805,0.5488,static
385,-0.71347,0.14605,9.57202,-4.2683,-1.2195,0.6707,static
386,-0.72544,0.14844,9.59117,-4.2073,-1.1585,0.7317,static
387,-0.71108,0.14844,9.57681,-4.3293,-1.2195,0.6098,static
388,-0.71108,0.14605,9.57202,-4.2683,-1.2805,0.6098,static
389,-0.72305,0.14844,9.58638,-4.2073,-1.1585,0.7317,static
390,-0.72065,0.14126,9.59357,-4.2683,-1.2195,0.6707,static
391,-0.71587,0.14605,9.57681,-4.3293,-1.2805,0.6098,static
392,-0.71347,0.13647,9.56723,-4.2683,-1.2195,0.6707,static
393,-0.73263,0.13647,9.57920,-4.2073,-1.1585,0.7317,static
394,-0.72784,0.14365,9.58160,-4.2683,-1.2195,0.6707,static
395,-0.71587,0.13886,9.57441,-4.3293,-1.2805,0.6098,static
396,-0.73023,0.14844,9.58399,-4.2683,-1.2195,0.7317,static
397,-0.73263,0.15083,9.58878,-4.2683,-1.1585,0.7317,static
398,-0.72065,0.14605,9.57681,-4.3293,-1.2195,0.6098,static
399,-0.71587,0.14605,9.57202,-4.2683,-1.2195,0.6707,static
400,-0.72305,0.14605,9.57202,-4.2073,-1.1585,0.7317,static
401,-0.72784,0.15323,9.58160,-4.2683,-1.2195,0.6707,static
402,-0.71587,0.15083,9.57202,-4.3293,-1.2805,0.6098,static
403,-0.72305,0.15083,9.56962,-4.2683,-1.2195,0.6707,static
404,-0.72544,0.15323,9.58638,-4.2073,-1.1585,0.7317,static
405,-0.72065,0.14844,9.58399,-4.3293,-1.2195,0.6707,static
406,-0.72305,0.15083,9.56005,-4.3293,-1.2805,0.6098,static
407,-0.72065,0.14844,9.58160,-4.2683,-1.2195,0.6707,static
408,-0.72065,0.14365,9.58878,-4.2683,-1.2195,0.6707,static
409,-0.71587,0.14365,9.57681,-4.3293,-1.2805,0.6098,static
410,-0.71347,0.14844,9.57681,-4.2683,-1.2195,0.6707,static
411,-0.72065,0.15802,9.58160,-4.2683,-1.1585,0.7317,static
412,-0.72544,0.14844,9.56962,-4.2683,-1.2195,0.6707,static
413,-0.72544,0.13886,9.56244,-4.3293,-1.2195,0.6098,static
414,-0.72065,0.13647,9.56484,-4.2683,-1.2195,0.6707,static
415,-0.73023,0.14126,9.57920,-4.2683,-1.2195,0.7317,static
416,-0.71587,0.13886,9.57681,-4.2683,-1.2195,0.6707,static
417,-0.71347,0.14605,9.57681,-4.2683,-1.2195,0.6707,static
418,-0.72065,0.14605,9.56962,-4.2683,-1.2195,0.7317,static
419,-0.71587,0.14844,9.57681,-4.2683,-1.2195,0.6707,static
420,-0.71826,0.14605,9.56723,-4.3293,-1.2195,0.6707,static
421,-0.72544,0.15323,9.56244,-4.2683,-1.2195,0.7317,static
422,-0.73023,0.15083,9.57441,-4.2683,-1.2195,0.6707,static
423,-0.71587,0.14605,9.57202,-4.3902,-1.2805,0.6098,static
424,-0.71587,0.14126,9.56723,-4.3293,-1.2805,0.6098,static
425,-0.73502,0.14844,9.56723,-4.1463,-1.1585,0.7927,static
426,-0.74699,0.15083,9.59117,-4.1463,-1.1585,0.7927,static
427,-0.72784,0.14365,9.58638,-4.3293,-1.2195,0.6098,static
428,-0.71587,0.14365,9.55526,-4.3902,-1.2805,0.5488,static
429,-0.73023,0.14844,9.56484,-4.2073,-1.1585,0.7317,static
430,-0.73981,0.14605,9.56484,-4.2073,-1.1585,0.7317,static
431,-0.72065,0.14126,9.55526,-4.3293,-1.2805,0.6098,static
432,-0.72065,0.14844,9.55526,-4.2683,-1.2805,0.6707,static
433,-0.73023,0.14126,9.57920,-4.2073,-1.1585,0.7927,static
434,-0.72305,0.14126,9.58638,-4.3293,-1.2195,0.6707,static
435,-0.71826,0.14126,9.56723,-4.3293,-1.2805,0.6098,static
436,-0.71347,0.13886,9.56962,-4.2683,-1.2195,0.7317,static
437,-0.72544,0.14844,9.58399,-4.2073,-1.1585,0.7317,static
438,-0.72544,0.15802,9.57681,-4.2683,-1.2195,0.6707,static
439,-0.72065,0.15802,9.56244,-4.3293,-1.2195,0.6707,static
440,-0.72784,0.14844,9.57202,-4.2683,-1.1585,0.7317,static
441,-0.72544,0.14844,9.56962,-4.2683,-1.2195,0.7317,static
442,-0.73023,0.14126,9.56484,-4.2683,-1.2805,0.6707,static
443,-0.73023,0.13408,9.56484,-4.2683,-1.2195,0.6707,static
444,-0.73981,0.13886,9.58160,-4.2073,-1.2195,0.7317,static
445,-0.73023,0.14126,9.58160,-4.3293,-1.2195,0.6707,static
446,-0.71347,0.14844,9.56723,-4.3902,-1.2805,0.5488,static
447,-0.71587,0.15562,9.57441,-4.2683,-1.2195,0.6707,static
448,-0.72544,0.14605,9.58399,-4.1463,-1.1585,0.7927,static
449,-0.74460,0.15323,9.57920,-4.2073,-1.2195,0.7317,static
450,-0.72784,0.15562,9.57441,-4.3293,-1.2805,0.6098,static
451,-0.71347,0.15802,9.56962,-4.3293,-1.2805,0.6098,static
452,-0.72065,0.16041,9.58160,-4.2683,-1.1585,0.7317,static
453,-0.72544,0.15083,9.58160,-4.2683,-1.2195,0.6707,static
454,-0.72784,0.15323,9.57681,-4.3293,-1.2195,0.6098,static
455,-0.73023,0.15083,9.58160,-4.2683,-1.2195,0.7317,static
456,-0.73502,0.15562,9.57441,-4.2073,-1.1585,0.7317,static
457,-0.72544,0.16281,9.56962,-4.3293,-1.2195,0.6098,static
458,-0.72065,0.15323,9.57681,-4.2683,-1.2195,0.6707,static
459,-0.72065,0.14365,9.59357,-4.2073,-1.1585,0.7317,static
460,-0.72065,0.14126,9.58160,-4.2683,-1.2195,0.6707,static
461,-0.72305,0.14844,9.56962,-4.2683,-1.2805,0.6707,static
462,-0.73023,0.14365,9.57441,-4.2683,-1.2195,0.6707,static
463,-0.73023,0.14365,9.57202,-4.2683,-1.2195,0.6707,static
464,-0.73023,0.14605,9.58160,-4.2683,-1.2195,0.6707,static
465,-0.73981,0.14844,9.57202,-4.2073,-1.2195,0.7317,static
466,-0.74939,0.15562,9.57681,-4.2073,-1.1585,0.7317,static
467,-0.73502,0.15562,9.57681,-4.3293,-1.2195,0.6098,static
468,-0.70629,0.14365,9.58160,-4.3902,-1.2805,0.5488,static
469,-0.70390,0.14365,9.57202,-4.2683,-1.2195,0.6707,static
470,-0.73502,0.14605,9.58878,-4.0854,-1.1585,0.8537,static
471,-0.74939,0.14365,9.59596,-4.2073,-1.1585,0.7927,static
472,-0.72784,0.14126,9.58160,-4.3902,-1.2805,0.6098,static
473,-0.72305,0.14126,9.56723,-4.3293,-1.2805,0.6098,static
474,-0.73263,0.15562,9.57681,-4.2073,-1.1585,0.7317,static
475,-0.72544,0.14605,9.58878,-4.2683,-1.1585,0.6707,static
476,-0.71826,0.14844,9.56723,-4.3293,-1.2805,0.6098,static
477,-0.72544,0.14126,9.57202,-4.2073,-1.2195,0.7317,static
478,-0.73502,0.13886,9.58160,-4.2073,-1.1585,0.7927,static
479,-0.72544,0.14126,9.56962,-4.3293,-1.2195,0.6707,static
480,-0.71347,0.14605,9.54808,-4.3293,-1.2195,0.6098,static
481,-0.71826,0.14844,9.56005,-4.2683,-1.1585,0.7317,static
482,-0.72544,0.14126,9.56244,-4.2073,-1.1585,0.7317,static
483,-0.73263,0.15083,9.56962,-4.2683,-1.2195,0.6707,static
484,-0.72065,0.14605,9.57202,-4.2683,-1.2195,0.6707,static
485,-0.71108,0.14126,9.56962,-4.2683,-1.2195,0.6707,static
486,-0.71826,0.14605,9.57202,-4.2683,-1.2195,0.6707,static
487,-0.72065,0.15323,9.57681,-4.2683,-1.2195,0.6707,static
488,-0.73023,0.15562,9.57681,-4.2073,-1.2195,0.7317,static
489,-0.74460,0.14844,9.57681,-4.2073,-1.1585,0.7317,static
490,-0.71826,0.14365,9.58160,-4.3293,-1.2195,0.6707,static
491,-0.70390,0.14365,9.56723,-4.4512,-1.2805,0.5488,static
492,-0.70150,0.15562,9.56723,-4.2683,-1.2195,0.6707,static
493,-0.71347,0.14844,9.58160,-4.1463,-1.1585,0.7927,static
494,-0.73263,0.14365,9.58878,-4.2073,-1.1585,0.7317,static
495,-0.73023,0.14126,9.57441,-4.2683,-1.2805,0.6098,static
496,-0.73023,0.14365,9.57920,-4.2683,-1.2195,0.6707,static
497,-0.74220,0.14605,9.58160,-4.2073,-1.1585,0.7317,static
498,-0.72784,0.14605,9.57681,-4.2683,-1.2195,0.6707,static
499,-0.72544,0.14365,9.55765,-4.3293,-1.2805,0.6098,static
500,-0.72784,0.14126,9.57202,-4.2073,-1.2195,0.7317,static
501,-0.73263,0.13886,9.57681,-4.2073,-1.1585,0.7317,static
502,-0.73023,0.14365,9.56962,-4.2683,-1.2195,0.6707,static
503,-0.72544,0.14126,9.57202,-4.2683,-1.2195,0.6707,static
504,-0.72544,0.13886,9.57920,-4.2683,-1.1585,0.7317,static
505,-0.73263,0.13647,9.58878,-4.2683,-1.1585,0.7317,static
506,-0.72544,0.14365,9.58160,-4.2683,-1.2195,0.6707,static
507,-0.71587,0.15083,9.58399,-4.2683,-1.2195,0.6707,static
508,-0.72544,0.15323,9.57920,-4.2683,-1.1585,0.7317,static
509,-0.72065,0.14844,9.56962,-4.2683,-1.2195,0.6707,static
510,-0.71347,0.15083,9.56005,-4.2683,-1.2195,0.6707,static
511,-0.71587,0.14844,9.56723,-4.2683,-1.2195,0.6707,static
512,-0.72544,0.14605,9.57441,-4.2683,-1.2195,0.7317,static
513,-0.72065,0.14126,9.56962,-4.2683,-1.2195,0.6707,static
514,-0.71826,0.13886,9.56723,-4.2683,-1.2195,0.6707,static
515,-0.71826,0.14126,9.56962,-4.2683,-1.1585,0.7317,static
516,-0.72065,0.14126,9.56962,-4.2683,-1.1585,0.7317,static
517,-0.71826,0.14844,9.57202,-4.2683,-1.2195,0.6707,static
518,-0.71587,0.15083,9.57202,-4.2683,-1.2195,0.6707,static
519,-0.72544,0.15083,9.58399,-4.2683,-1.2195,0.7317,static
520,-0.72065,0.15083,9.58878,-4.2683,-1.2195,0.6707,static
521,-0.72065,0.14126,9.58399,-4.2683,-1.2195,0.6707,static
522,-0.72065,0.14126,9.57920,-4.2683,-1.2195,0.6707,static
523,-0.72544,0.14365,9.56723,-4.2683,-1.2195,0.6707,static
524,-0.72305,0.13886,9.56723,-4.2683,-1.2195,0.6707,static
525,-0.72305,0.13886,9.57202,-4.2683,-1.2195,0.6707,static
526,-0.72784,0.13886,9.58399,-4.2683,-1.2195,0.6707,static
527,-0.72544,0.14605,9.58160,-4.2683,-1.2195,0.6707,static
528,-0.73023,0.14126,9.58399,-4.2683,-1.2195,0.6707,static
529,-0.73023,0.15323,9.58160,-4.2683,-1.2195,0.6707,static
530,-0.73263,0.15802,9.57441,-4.2683,-1.2195,0.6707,static
531,-0.72784,0.15562,9.57681,-4.2683,-1.2195,0.6707,static
532,-0.71826,0.15323,9.58160,-4.2683,-1.2195,0.6707,static
533,-0.71587,0.15802,9.57681,-4.2683,-1.2195,0.6707,static
534,-0.71347,0.15083,9.57681,-4.2683,-1.2195,0.6707,static
535,-0.71347,0.15083,9.57920,-4.2683,-1.1585,0.6707,static
536,-0.72544,0.15323,9.57202,-4.2683,-1.2195,0.6707,static
537,-0.71826,0.15323,9.58160,-4.2683,-1.2195,0.6707,static
538,-0.72784,0.14365,9.56723,-4.2683,-1.2195,0.6707,static
