I2C scan: ['0x68']
MPU6050 OK @ 0x68, +/-8g, +/-2000dps, 50Hz
# Ready.
# Commands: test(), collect('<label>', seconds)
MicroPython v1.24.1 on 2024-11-29; Generic ESP32S3 module with ESP32S3
Type "help()" for more information.
>>> ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce3820,len:0x105c
load:0x403c9700,len:0x4
load:0x403c9704,len:0xbd8
load:0x403cc700,len:0x2e34
entry 0x403c989c
[0;31mE (289) quad_psram: PSRAM ID read error: 0x00ffffff, PSRAM chip not found or not supported, or wrong PSRAM line mode[0m
[0;31mE (289) esp_psram: PSRAM enabled but initialization failed. Bailing out.[0m
I2C scan: ['0x68']
MPU6050 OK @ 0x68, +/-8g, +/-2000dps, 50Hz
# Ready.
# Commands: test(), collect('<label>', seconds)
MicroPython v1.24.1 on 2024-11-29; Generic ESP32S3 module with ESP32S3
Type "help()" for more information.
>>>
collect('+Z_down', 5)
# COLLECT +Z_down 5s 250samples
# sample,ax,ay,az,gx,gy,gz,label
65,0.37828,0.16281,9.57202,-2.9878,0.9146,1.3415,+Z_down
66,0.36392,0.19632,9.60075,-2.5610,2.2561,1.6463,+Z_down
67,0.28491,0.24900,9.64624,-2.3171,2.7439,2.0122,+Z_down
68,0.30885,0.26097,9.63906,-2.4390,1.6463,1.7073,+Z_down
69,0.23942,0.22984,9.65582,-2.7439,-0.1829,1.2805,+Z_down
70,0.27294,0.20351,9.62948,-2.9878,-1.1585,1.4634,+Z_down
71,0.30406,0.19154,9.58399,-2.9268,-1.2195,2.0122,+Z_down
72,0.28491,0.22745,9.62469,-2.5610,-1.0976,2.5000,+Z_down
73,0.26336,0.26097,9.66779,-2.6220,-1.4024,2.3171,+Z_down
74,0.27773,0.24660,9.62708,-3.2317,-1.9512,1.4634,+Z_down
75,0.31603,0.23942,9.61511,-3.7195,-2.1951,0.9146,+Z_down
76,0.29688,0.25139,9.61751,-3.9634,-1.9512,0.7927,+Z_down
77,0.33279,0.24421,9.61033,-4.1463,-2.0732,0.3659,+Z_down
78,0.32561,0.24181,9.64145,-4.3293,-1.9512,0.2439,+Z_down
79,0.31603,0.22505,9.59835,-4.4512,-1.4024,0.1829,+Z_down
80,0.32322,0.23703,9.58638,-4.4512,-0.9756,0.4268,+Z_down
81,0.30646,0.24660,9.60793,-4.3902,-1.2195,0.6707,+Z_down
82,0.33040,0.23703,9.59357,-4.4512,-1.9512,0.6707,+Z_down
83,0.34477,0.22027,9.59835,-4.3902,-2.1951,0.4878,+Z_down
84,0.33519,0.22266,9.61751,-4.3293,-1.7073,0.3049,+Z_down
85,0.31364,0.23942,9.62469,-4.4512,-1.1585,0.3049,+Z_down
86,0.30406,0.24421,9.60075,-4.5122,-1.2195,0.5488,+Z_down
87,0.33279,0.24181,9.61511,-4.5122,-1.3415,1.0366,+Z_down
88,0.35195,0.23942,9.60793,-4.5122,-1.0366,1.0976,+Z_down
89,0.36871,0.23463,9.57202,-4.5122,-0.7317,0.7317,+Z_down
90,0.34716,0.24900,9.62469,-4.2683,-0.9146,0.6707,+Z_down
91,0.30167,0.24421,9.64145,-4.2683,-0.9756,0.8537,+Z_down
92,0.31843,0.22745,9.62948,-4.3902,-0.7317,0.8537,+Z_down
93,0.30406,0.21787,9.62948,-4.4512,-0.7927,0.7927,+Z_down
94,0.27054,0.23463,9.62708,-4.4512,-1.0366,0.7927,+Z_down
95,0.31364,0.24181,9.62469,-4.5122,-1.4024,0.7927,+Z_down
96,0.32561,0.23224,9.61511,-4.5732,-1.8293,1.0976,+Z_down
97,0.34477,0.21787,9.59596,-4.5732,-1.7073,1.2805,+Z_down
98,0.35434,0.22027,9.60793,-4.3902,-1.4024,1.0976,+Z_down
99,0.34477,0.23463,9.61990,-4.3902,-1.0976,0.7927,+Z_down
100,0.29688,0.22984,9.63906,-4.5122,-0.9146,0.6707,+Z_down
101,0.27773,0.21069,9.61272,-4.5732,-1.1585,0.6707,+Z_down
102,0.35434,0.19393,9.58399,-4.5732,-1.5244,0.6707,+Z_down
103,0.38307,0.19393,9.57920,-4.3293,-1.4024,0.7317,+Z_down
104,0.35913,0.20830,9.60314,-3.9634,-0.7317,1.0366,+Z_down
105,0.30885,0.22505,9.61511,-3.7805,0.0000,1.5244,+Z_down
106,0.31843,0.22505,9.61511,-3.7195,-0.1829,1.8293,+Z_down
107,0.35913,0.22505,9.60793,-3.7195,-0.3659,1.8902,+Z_down
108,0.33998,0.23224,9.59117,-3.6585,-0.1220,1.7073,+Z_down
109,0.31125,0.25139,9.62708,-3.6585,0.0610,1.4024,+Z_down
110,0.28730,0.23942,9.61272,-3.7805,-0.1829,1.3415,+Z_down
111,0.28012,0.23224,9.62469,-3.7805,-0.4268,1.2195,+Z_down
112,0.27773,0.25139,9.62948,-3.8415,-0.6098,1.0366,+Z_down
113,0.25379,0.28252,9.67497,-4.0244,-0.7317,0.9146,+Z_down
114,0.26815,0.26097,9.63427,-4.4512,-0.9756,0.8537,+Z_down
115,0.32082,0.22745,9.56723,-4.6341,-1.4634,0.7927,+Z_down
116,0.32801,0.21308,9.58160,-4.3293,-1.7073,1.0366,+Z_down
117,0.30646,0.21548,9.62708,-4.0244,-1.3415,1.2195,+Z_down
118,0.26097,0.23224,9.65342,-3.9634,-1.2195,1.1585,+Z_down
119,0.29688,0.24421,9.64145,-4.0854,-1.4634,1.0366,+Z_down
