feature,importance_mdi
acc_mag_iqr,0.019422118790213386
ay_rms,0.01916727575740325
acc_mag_peak_to_peak,0.018706639085987176
ay_median,0.018382537892441625
ay_energy_mid,0.01834523075690827
acc_mag_min,0.01829827615952919
acc_vertical_ratio,0.015868992256945814
acc_mag_var,0.015099712205018238
jerk_mag_mean,0.014875720479268271
mag_heading_std,0.014618980101517014
acc_mag_spectral_entropy,0.014390126194308904
az_std,0.013788012189256233
ay_spectral_rolloff,0.013717801442775134
ax_autocorr_lag1,0.01360643699155883
acc_mag_std,0.013213660565510788
acc_corr_ax_az,0.012728121018778137
mx_spectral_entropy,0.012538766265554042
acc_corr_ay_az,0.012433632210050385
acc_mag_energy_mid,0.012381027919615433
gz_std,0.012235121967815139
az_min,0.011722675891002933
acc_mag_max,0.011693072100183088
ax_peak_to_peak,0.011577159272408816
az_rms,0.011250904850383938
ay_energy_low,0.010812219251588357
az_mean,0.010568062442930053
ay_min,0.010535922752638904
ay_max,0.010060691361793156
ay_mean,0.009760063809517144
gy_var,0.009386712833259434
