model,accuracy,macro_f1,fall_recall,type
GaussianNB,0.36395759717314485,0.3263521438335088,0.14285714285714285,standard
LDA,0.2332155477031802,0.21780157486173626,0.42857142857142855,standard
LogisticRegression,0.5247349823321554,0.4847834526281776,0.42857142857142855,standard
Perceptron,0.47703180212014135,0.44339202549504714,0.2857142857142857,standard
LinearSVM,0.4664310954063604,0.4231407830683541,0.2857142857142857,standard
kNN_k5,0.5547703180212014,0.5054631884477108,0.2857142857142857,standard
MinRiskBayes_std,0.35159010600706714,0.3132706166589469,0.14285714285714285,minrisk
MinRiskBayes_fall,0.35159010600706714,0.3132706166589469,0.14285714285714285,minrisk
